date,isholiday
0101,True
0102,True
0107,False
0108,True
0114,True
0115,True
0120,True
0121,True
0122,True
0123,True
0124,True
0125,True
0126,True
0127,True
0128,True
0129,True
0204,False
0205,True
0211,True
0212,True
0218,False
0219,True
0225,True
0226,True
0227,True
0228,True
0304,True
0305,True
0311,True
0312,True
0318,True
0319,True
0325,False
0326,True
0401,True
0402,True
0403,True
0404,True
0405,True
0408,True
0409,True
0415,True
0416,True
0422,True
0423,True
0429,True
0430,True
0501,True
0506,True
0507,True
0513,True
0514,True
0520,True
0521,True
0527,True
0528,True
0603,True
0604,True
0610,True
0611,True
0617,False
0618,True
0622,True
0623,True
0624,True
0625,True
0701,True
0702,True
0708,True
0709,True
0715,True
0716,True
0722,True
0723,True
0729,True
0730,True
0805,True
0806,True
0812,True
0813,True
0819,True
0820,True
0826,True
0827,True
0902,True
0903,True
0909,True
0910,True
0916,True
0917,True
0923,False
0924,True
0929,True
0930,True
1001,True
1007,True
1008,True
1009,True
1010,True
1014,True
1015,True
1021,True
1022,True
1028,True
1029,True
1104,True
1105,True
1111,True
1112,True
1118,True
1119,True
1125,True
1126,True
1202,True
1203,True
1209,True
1210,True
1216,True
1217,True
1223,True
1224,True
1230,True
1231,True
